Date,Open,High,Low,Close,Adj Close,Volume
2021-07-22,14.179382,14.620459,13.903690,14.243155,14.243155,121317587320
2021-07-23,14.247321,14.850395,13.665182,14.500023,14.500023,107746957093
2021-07-24,14.504392,15.213963,14.245375,14.689127,14.689127,126246335161
2021-07-25,14.678211,14.922265,14.270589,14.730785,14.730785,93516847043
2021-07-26,14.743135,17.332859,14.671171,15.186235,15.186235,361287861922
2021-07-27,15.142907,15.582747,14.520968,15.339993,15.339993,166133502299
2021-07-28,15.355795,15.899537,15.050770,15.279133,15.279133,154486800413
2021-07-29,15.293957,15.321212,14.903816,15.193404,15.193404,86824849870
2021-07-30,15.223400,15.649207,14.626242,15.531923,15.531923,113352678819
2021-07-31,15.518362,15.942817,15.240069,15.494258,15.494258,100353512804
2021-08-01,15.452559,16.185789,14.978180,15.205907,15.205907,127299833121
2021-08-02,15.194152,15.613916,15.032882,15.134011,15.134011,87821216455
2021-08-03,15.121439,15.246989,14.378856,14.543589,14.543589,83241447762
2021-08-04,14.569215,15.069583,14.431622,14.948543,14.948543,81260304427
2021-08-05,14.954829,15.028709,14.433471,14.886737,14.886737,84384137149
2021-08-06,14.885670,15.715128,14.719039,15.196453,15.196453,98933420152
2021-08-07,15.208181,19.442444,15.128454,19.320070,19.320070,470721883246
2021-08-08,19.439880,20.881275,17.529047,17.881346,17.881346,520307956762
2021-08-09,17.887074,19.829624,17.238209,19.130199,19.130199,343134222572
2021-08-10,19.090693,19.560949,18.263569,19.154169,19.154169,254898936339
2021-08-11,19.161524,20.938049,19.084023,19.656090,19.656090,350648398784
2021-08-12,19.625717,21.822386,18.780775,19.598873,19.598873,390970182309
2021-08-13,19.623222,21.314198,19.449368,21.286030,21.286030,264590440856
2021-08-14,21.285545,22.150482,20.569534,21.753950,21.753950,347155954628
2021-08-15,21.826193,25.881124,21.304964,25.340754,25.340754,597163076773
2021-08-16,25.246071,26.028427,23.052841,23.778379,23.778379,495364960624
2021-08-17,23.698025,25.198271,21.994549,22.267920,22.267920,423856744377
2021-08-18,22.250175,24.088205,20.972124,22.558697,22.558697,471466007700
2021-08-19,22.531748,23.736296,21.866003,23.604862,23.604862,279892009255
2021-08-20,23.636658,24.778177,23.379238,24.333132,24.333132,260969198002
2021-08-21,24.326023,24.488470,23.453232,23.538891,23.538891,193216492219
2021-08-22,23.560266,23.891361,22.777208,23.402296,23.402296,166275146000
2021-08-23,23.399584,24.360971,23.228386,23.559383,23.559383,210211642795
2021-08-24,23.594330,23.695950,20.597605,21.408560,21.408560,233094906516
2021-08-25,21.444092,22.044621,20.786238,21.654659,21.654659,186645275761
2021-08-26,21.696789,21.933790,19.673500,19.941317,19.941317,178737950065
2021-08-27,19.934666,21.670139,19.680582,21.639854,21.639854,175080433186
2021-08-28,21.654455,21.988047,20.819630,20.992817,20.992817,112803425016
2021-08-29,21.010002,21.436316,20.394300,20.661835,20.661835,108306676710
2021-08-30,20.669748,21.262323,19.848606,19.977053,19.977053,128395682720
2021-08-31,19.958975,20.854719,19.827085,20.326241,20.326241,127450254921
2021-09-01,20.297668,21.522602,19.968901,21.486950,21.486950,141431711536
2021-09-02,21.486347,22.568649,21.312477,21.620890,21.620890,217780684339
2021-09-03,21.533094,22.227539,21.079275,21.626369,21.626369,174022671291
2021-09-04,21.611383,22.535688,21.412394,21.853714,21.853714,165200998826
2021-09-05,21.849083,22.993990,21.648911,22.958853,22.958853,174678886410
2021-09-06,22.943331,23.369019,21.958073,22.573908,22.573908,190952707808
2021-09-07,22.587469,22.736183,15.902480,18.622402,18.622402,414901364765
2021-09-08,18.660715,19.425453,17.291443,18.978083,18.978083,238143861347
2021-09-09,18.479746,19.158558,18.351746,18.573835,18.573835,129650237020
2021-09-10,18.573027,19.230358,17.345440,17.644909,17.644909,135348006583
2021-09-11,17.633493,18.235785,17.534985,17.751549,17.751549,87962044552
2021-09-12,17.743979,18.733900,17.589842,18.426466,18.426466,104352572322
2021-09-13,18.427002,18.530479,16.847061,17.348991,17.348991,129368821067
2021-09-14,17.360525,17.794964,17.206001,17.726753,17.726753,71283520422
2021-09-15,17.718014,18.246761,17.618420,18.200809,18.200809,72024421537
2021-09-16,18.189413,18.203487,17.206560,17.843576,17.843576,83867838584
2021-09-17,17.809973,19.060385,17.542208,17.682535,17.682535,165583996629
2021-09-18,17.682377,18.227793,17.557077,17.789860,17.789860,73636217726
2021-09-19,17.782104,17.782429,17.048817,17.181734,17.181734,65793440313
2021-09-20,17.183100,17.215958,14.741437,15.252687,15.252687,165291633639
2021-09-21,15.378027,16.068335,14.623333,14.834880,14.834880,130393696671
2021-09-22,14.819763,16.947687,14.769823,16.611448,16.611448,148967094662
2021-09-23,16.603327,16.740423,16.079021,16.601652,16.601652,86362063050
2021-09-24,16.593822,16.855299,14.588257,15.460230,15.460230,139001531461
2021-09-25,15.452651,15.692975,15.122443,15.400381,15.400381,78768341470
2021-09-26,15.406994,15.431976,14.355828,15.128866,15.128866,84687400079
2021-09-27,15.149457,15.426801,14.770835,14.784425,14.784425,61887751878
2021-09-28,14.765159,15.009780,14.562138,14.595647,14.595647,64247970158
2021-09-29,14.608764,15.152468,14.464981,14.780953,14.780953,68877471664
2021-09-30,14.780416,15.276755,14.705069,15.166050,15.166050,68078132781
2021-10-01,15.179654,16.654640,14.988279,16.536707,16.536707,106443275632
2021-10-02,16.516783,16.680902,15.979318,16.249220,16.249220,86465896649
2021-10-03,16.225344,16.775347,16.007410,16.443150,16.443150,79362892476
2021-10-04,16.456602,18.488415,15.824640,17.961069,17.961069,274730875788
2021-10-05,17.989977,19.951418,17.389717,18.791149,18.791149,345104224930
2021-10-06,18.790558,20.281366,18.168131,19.075756,19.075756,348396761330
2021-10-07,19.016439,19.188183,17.882893,18.178030,18.178030,219710618563
2021-10-08,18.185488,19.093653,18.113304,18.363464,18.363464,147006133287
2021-10-09,18.336660,18.930553,18.205730,18.527088,18.527088,111569509353
2021-10-10,18.525320,18.682453,17.159060,17.305708,17.305708,110403254843
2021-10-11,17.278967,18.028837,16.995758,17.456022,17.456022,110360471409
2021-10-12,17.457617,17.472200,16.349489,17.077688,17.077688,141993386259
2021-10-13,17.072620,17.617443,16.661371,17.514194,17.514194,109758322120
2021-10-14,17.513365,18.064573,17.359776,17.419340,17.419340,100277492570
2021-10-15,17.447178,18.265553,16.922853,17.519194,17.519194,137721781029
2021-10-16,17.526615,18.318451,17.511818,17.782240,17.782240,115543601594
2021-10-17,17.774794,18.152775,16.964542,17.843786,17.843786,104794326494
2021-10-18,17.836903,20.446442,17.862629,18.604366,18.604366,376431938377
2021-10-19,18.611704,19.100271,18.071884,18.463696,18.463696,125899276516
2021-10-20,18.442221,19.567236,18.205744,19.008047,19.008047,138622588315
2021-10-21,19.060415,19.326296,18.132410,18.147030,18.147030,130460618959
2021-10-22,18.153618,18.949871,17.723295,18.315065,18.315065,137229374504
2021-10-23,18.337072,18.983965,18.117712,18.879810,18.879810,112700598650
2021-10-24,18.857243,21.143438,18.449980,20.776930,20.776930,395875162134
2021-10-25,20.679224,20.958717,19.524288,19.876938,19.876938,252646041101
2021-10-26,19.882631,20.583549,19.000969,19.151552,19.151552,188225454835
2021-10-27,19.159386,19.736912,16.518816,17.835743,17.835743,376902329557
2021-10-28,17.812557,25.341669,17.506128,22.472660,22.472660,1522847454170
2021-10-29,22.436581,22.911274,20.942015,21.568382,21.568382,439580629075
2021-10-30,21.561714,22.077473,19.473009,20.106699,20.106699,272540187283
2021-10-31,20.173651,21.332460,18.928013,20.998062,20.998062,316502281686
2021-11-01,20.988939,21.395987,19.808949,20.333431,20.333431,208398696742
2021-11-02,20.345715,20.982805,20.035147,20.405588,20.405588,174559464653
2021-11-03,20.434210,20.651297,19.666151,20.053495,20.053495,155673503008
2021-11-04,20.031536,20.162031,18.972740,19.608681,19.608681,141729135553
2021-11-05,19.636572,20.128674,19.143415,19.398415,19.398415,115730669947
2021-11-06,19.383469,19.860762,18.586452,19.430523,19.430523,100419684792
2021-11-07,19.435925,20.020384,19.213057,19.758568,19.758568,85757237860
2021-11-08,19.789223,21.944967,19.654947,20.871593,20.871593,302577664612
2021-11-09,20.884941,21.394993,20.125229,20.288815,20.288815,174567213801
2021-11-10,20.294075,20.573662,17.708668,19.026031,19.026031,209861320470
2021-11-11,19.025759,20.062191,18.845627,19.410679,19.410679,121055837876
2021-11-12,19.393612,19.962967,18.559294,19.286747,19.286747,116205311578
2021-11-13,19.301893,19.500244,18.923801,19.459690,19.459690,68693861199
2021-11-14,19.451101,20.169853,19.353268,19.547085,19.547085,94017933023
2021-11-15,19.544001,19.714653,19.072147,19.093641,19.093641,76549742125
2021-11-16,19.135717,19.135717,16.836960,17.665312,17.665312,167443443958
2021-11-17,17.647470,17.893034,17.297182,17.635773,17.635773,114613044493
2021-11-18,17.640879,17.903450,16.038490,16.421270,16.421270,138016372950
2021-11-19,16.392504,17.598406,16.072226,17.322598,17.322598,96316039787
2021-11-20,17.327360,17.533882,16.753433,17.316208,17.316208,59842948072
2021-11-21,17.333366,17.340418,16.772585,16.820772,16.820772,55873214697
2021-11-22,16.808289,16.910070,16.147840,16.350471,16.350471,68606175509
2021-11-23,16.349752,17.580101,15.965020,16.863228,16.863228,141991690103
2021-11-24,16.875671,17.141115,15.765288,16.553713,16.553713,146090881260
2021-11-25,16.203487,17.049103,15.993418,16.117826,16.117826,100199078592
2021-11-26,16.469587,16.522610,14.256550,15.077189,15.077189,167498292791
2021-11-27,15.117815,15.732065,15.075962,15.411898,15.411898,68882566345
2021-11-28,15.408029,15.570888,14.490040,15.570888,15.570888,77118491797
2021-11-29,15.568732,16.793114,15.262682,16.150009,16.150009,140333453083
2021-11-30,16.145206,16.988033,16.020521,16.114573,16.114573,142419769726
2021-12-01,16.097481,16.393732,15.478856,15.715326,15.715326,74120259735
